source,product_url,name,brand,price,rating,major_category,subtype,active_tags,function_tags,ingredients_raw,ingredients_list
INCIDecoder,https://incidecoder.com/products/dermvi-moisturizer,Dermvi Moisturizer,,,,moisturizer,moisturizer,"ceramide,titanium_dioxide","barrier_repair,hydrating","Ceramides, Hyaluronic Acid, Light Liquid Paraffin, White Soft Paraffin, Caprylic/​Capric Triglycerides, Glycerine, C12-15 Alkyl Benzoate, Cyclomethicone, Microfine Titanium Dioxide, Octinoxate, Deionized Water, Disodium EDTA, Carbomer, Glyceryl Monostearate, PEG-100 Stearate, 1-Hexadecanol, Stearic Acid, Ceteareth-20, Propylene Glycol, Phenoxyethanol, Caprylyl Glycol, Aloe Vera Extract, Triethanolamine, Ceramides, Hyaluronic Acid, Glycerine, Aloe Vera Extract, Microfine Titanium Dioxide, Octinoxate, C12-15 Alkyl Benzoate, Triethanolamine, Disodium EDTA, Microfine Titanium Dioxide, Light Liquid Paraffin, White Soft Paraffin, Caprylic/​Capric Triglycerides, C12-15 Alkyl Benzoate, Cyclomethicone, Glyceryl Monostearate, Stearic Acid, Caprylyl Glycol, Aloe Vera Extract, Glyceryl Monostearate, PEG-100 Stearate, Ceteareth-20, Hyaluronic Acid, Glycerine, Propylene Glycol, Caprylyl Glycol, Aloe Vera Extract, Phenoxyethanol, Light Liquid Paraffin, Deionized Water, Propylene Glycol, PEG-100 Stearate, Ceteareth-20, Carbomer, Stearic Acid","Ceramides,Hyaluronic Acid,Light Liquid Paraffin,White Soft Paraffin,Caprylic/​Capric Triglycerides,Glycerine,C12-15 Alkyl Benzoate,Cyclomethicone,Microfine Titanium Dioxide,Octinoxate,Deionized Water,Disodium EDTA,Carbomer,Glyceryl Monostearate,PEG-100 Stearate,1-Hexadecanol,Stearic Acid,Ceteareth-20,Propylene Glycol,Phenoxyethanol,Caprylyl Glycol,Aloe Vera Extract,Triethanolamine,Ceramides,Hyaluronic Acid,Glycerine,Aloe Vera Extract,Microfine Titanium Dioxide,Octinoxate,C12-15 Alkyl Benzoate,Triethanolamine,Disodium EDTA,Microfine Titanium Dioxide,Light Liquid Paraffin,White Soft Paraffin,Caprylic/​Capric Triglycerides,C12-15 Alkyl Benzoate,Cyclomethicone,Glyceryl Monostearate,Stearic Acid,Caprylyl Glycol,Aloe Vera Extract,Glyceryl Monostearate,PEG-100 Stearate,Ceteareth-20,Hyaluronic Acid,Glycerine,Propylene Glycol,Caprylyl Glycol,Aloe Vera Extract,Phenoxyethanol,Light Liquid Paraffin,Deionized Water,Propylene Glycol,PEG-100 Stearate,Ceteareth-20,Carbomer,Stearic Acid"
INCIDecoder,https://incidecoder.com/products/woahskin-moisturizer,Woahskin Moisturizer,,,,moisturizer,moisturizer,,hydrating,"Water (Aqua), Squalane, Polyacrylate-13, Polyisobutene, Polysorbate 20, Xylitylglucoside, Anhydroxylitol, Xylitol, Ethylhexylglycerin, Seaweed (Algae) Extract, Lanolin Alcohol, Zinc Gluconate, Medicago Sativa (Alfalfa) Seed Powder, Zinc Gluconate, Squalane, Zinc Gluconate, Squalane, Lanolin Alcohol, Polysorbate 20, Lanolin Alcohol, Xylitylglucoside, Anhydroxylitol, Xylitol, Seaweed (Algae) Extract, Ethylhexylglycerin, Water (Aqua), Polysorbate 20, Polyisobutene, Seaweed (Algae) Extract, Lanolin Alcohol","Water (Aqua),Squalane,Polyacrylate-13,Polyisobutene,Polysorbate 20,Xylitylglucoside,Anhydroxylitol,Xylitol,Ethylhexylglycerin,Seaweed (Algae) Extract,Lanolin Alcohol,Zinc Gluconate,Medicago Sativa (Alfalfa) Seed Powder,Zinc Gluconate,Squalane,Zinc Gluconate,Squalane,Lanolin Alcohol,Polysorbate 20,Lanolin Alcohol,Xylitylglucoside,Anhydroxylitol,Xylitol,Seaweed (Algae) Extract,Ethylhexylglycerin,Water (Aqua),Polysorbate 20,Polyisobutene,Seaweed (Algae) Extract,Lanolin Alcohol"
INCIDecoder,https://incidecoder.com/products/frownies-moisturizer,Frownies Moisturizer,,,,moisturizer,moisturizer,,hydrating,"Aloe Barbadensis Leaf Juice, Propanediol, Avena Sativa (Oat) Kernel Oil, Limnanthes Alba (Meadow-Foam) Seed Oil, Raphanus Sativus (Radish Seed) Oil, Rosehip Seed Oil, Glycerin, Panicum Miliaceum (Millet) Seed Extract, Tannic Acid, Populus Tremuloides (Aspen) Bark Extract, Sodium Stearoyl Lactylate, Glyceryl Stearate, Xanthan Gum, Black 2, Algae Extract, Pelargonium Gravolens (Geranium Oil), Glycerin, Aloe Barbadensis Leaf Juice, Black 2, Limnanthes Alba (Meadow-Foam) Seed Oil, Raphanus Sativus (Radish Seed) Oil, Rosehip Seed Oil, Glyceryl Stearate, Algae Extract, Sodium Stearoyl Lactylate, Glyceryl Stearate, Aloe Barbadensis Leaf Juice, Propanediol, Glycerin, Algae Extract, Pelargonium Gravolens (Geranium Oil), Propanediol, Xanthan Gum","Aloe Barbadensis Leaf Juice,Propanediol,Avena Sativa (Oat) Kernel Oil,Limnanthes Alba (Meadow-Foam) Seed Oil,Raphanus Sativus (Radish Seed) Oil,Rosehip Seed Oil,Glycerin,Panicum Miliaceum (Millet) Seed Extract,Tannic Acid,Populus Tremuloides (Aspen) Bark Extract,Sodium Stearoyl Lactylate,Glyceryl Stearate,Xanthan Gum,Black 2,Algae Extract,Pelargonium Gravolens (Geranium Oil),Glycerin,Aloe Barbadensis Leaf Juice,Black 2,Limnanthes Alba (Meadow-Foam) Seed Oil,Raphanus Sativus (Radish Seed) Oil,Rosehip Seed Oil,Glyceryl Stearate,Algae Extract,Sodium Stearoyl Lactylate,Glyceryl Stearate,Aloe Barbadensis Leaf Juice,Propanediol,Glycerin,Algae Extract,Pelargonium Gravolens (Geranium Oil),Propanediol,Xanthan Gum"
INCIDecoder,https://incidecoder.com/products/mdacne-moisturizer,MDacne Moisturizer,,,,moisturizer,moisturizer,vitamin_c,"brightening,hydrating","Aqua (Deionized Water), Aloe Barbadensis Leaf Extract, Glyceryl Stearate, Stearic Acid, Cetyl Alcohol, Glycerin, Polysorbate 20, Ascorbic Acid (Vitamin C), Camellia Sinensis (Green Tea) Extract, Cucumis Sativus (Cucumber) Fruit Extract, Punica Granatum (Pomegranate) Extract, Glycyrrhiza Glabra (Licorice) Extract, Butyrospermum Parkii (Shea) Butter, Theobroma Cacao (Cocoa) Butter, Thioctic Acid, Hyaluronic Acid, Sodium Polyacrylate, Xanthan Gum, Phenoxyethanol, Ethylhexylglycerin, Ascorbic Acid (Vitamin C), Camellia Sinensis (Green Tea) Extract, Thioctic Acid, Ascorbic Acid (Vitamin C), Glycyrrhiza Glabra (Licorice) Extract, Glycerin, Hyaluronic Acid, Aloe Barbadensis Leaf Extract, Camellia Sinensis (Green Tea) Extract, Cucumis Sativus (Cucumber) Fruit Extract, Glycyrrhiza Glabra (Licorice) Extract, Ascorbic Acid (Vitamin C), Aloe Barbadensis Leaf Extract, Glyceryl Stearate, Stearic Acid, Cetyl Alcohol, Cucumis Sativus (Cucumber) Fruit Extract, Butyrospermum Parkii (Shea) Butter, Theobroma Cacao (Cocoa) Butter, Glyceryl Stearate, Polysorbate 20, Aloe Barbadensis Leaf Extract, Glycerin, Hyaluronic Acid, Phenoxyethanol, Ethylhexylglycerin, Aqua (Deionized Water), Polysorbate 20, Stearic Acid, Cetyl Alcohol, Sodium Polyacrylate, Xanthan Gum","Aqua (Deionized Water),Aloe Barbadensis Leaf Extract,Glyceryl Stearate,Stearic Acid,Cetyl Alcohol,Glycerin,Polysorbate 20,Ascorbic Acid (Vitamin C),Camellia Sinensis (Green Tea) Extract,Cucumis Sativus (Cucumber) Fruit Extract,Punica Granatum (Pomegranate) Extract,Glycyrrhiza Glabra (Licorice) Extract,Butyrospermum Parkii (Shea) Butter,Theobroma Cacao (Cocoa) Butter,Thioctic Acid,Hyaluronic Acid,Sodium Polyacrylate,Xanthan Gum,Phenoxyethanol,Ethylhexylglycerin,Ascorbic Acid (Vitamin C),Camellia Sinensis (Green Tea) Extract,Thioctic Acid,Ascorbic Acid (Vitamin C),Glycyrrhiza Glabra (Licorice) Extract,Glycerin,Hyaluronic Acid,Aloe Barbadensis Leaf Extract,Camellia Sinensis (Green Tea) Extract,Cucumis Sativus (Cucumber) Fruit Extract,Glycyrrhiza Glabra (Licorice) Extract,Ascorbic Acid (Vitamin C),Aloe Barbadensis Leaf Extract,Glyceryl Stearate,Stearic Acid,Cetyl Alcohol,Cucumis Sativus (Cucumber) Fruit Extract,Butyrospermum Parkii (Shea) Butter,Theobroma Cacao (Cocoa) Butter,Glyceryl Stearate,Polysorbate 20,Aloe Barbadensis Leaf Extract,Glycerin,Hyaluronic Acid,Phenoxyethanol,Ethylhexylglycerin,Aqua (Deionized Water),Polysorbate 20,Stearic Acid,Cetyl Alcohol,Sodium Polyacrylate,Xanthan Gum"
INCIDecoder,https://incidecoder.com/products/humeda-moisturizer-2,Humeda Moisturizer,,,,moisturizer,moisturizer,,hydrating,"Purified Water, Glycerin, Glyceryl Acrylate/​Acrylic Acid Copolymer, Propylene Glycol, Light Liquid Paraffin, Dicaprylyl Carbonate, Dimethicone, Dimethiconol, Glycerin, Cetyl Alcohol, Refined Almond Oil, Benzyl Alcohol, Glyceryl Stearate, PEG-100 Stearate, Tocopheryl Acetate, Acrylates/​C10-30 Alkyl Acrylate, Disodium Edetate, Sodium, Tocopheryl Acetate, Glycerin, Disodium Edetate, Light Liquid Paraffin, Dicaprylyl Carbonate, Dimethicone, Dimethiconol, Cetyl Alcohol, Glyceryl Stearate, Glyceryl Stearate, PEG-100 Stearate, Glycerin, Glyceryl Acrylate/​Acrylic Acid Copolymer, Propylene Glycol, Dimethiconol, Benzyl Alcohol, Benzyl Alcohol, Purified Water, Propylene Glycol, Light Liquid Paraffin, Benzyl Alcohol, PEG-100 Stearate, Glyceryl Acrylate/​Acrylic Acid Copolymer, Cetyl Alcohol, Benzyl Alcohol, Acrylates/​C10-30 Alkyl Acrylate","Purified Water,Glycerin,Glyceryl Acrylate/​Acrylic Acid Copolymer,Propylene Glycol,Light Liquid Paraffin,Dicaprylyl Carbonate,Dimethicone,Dimethiconol,Glycerin,Cetyl Alcohol,Refined Almond Oil,Benzyl Alcohol,Glyceryl Stearate,PEG-100 Stearate,Tocopheryl Acetate,Acrylates/​C10-30 Alkyl Acrylate,Disodium Edetate,Sodium,Tocopheryl Acetate,Glycerin,Disodium Edetate,Light Liquid Paraffin,Dicaprylyl Carbonate,Dimethicone,Dimethiconol,Cetyl Alcohol,Glyceryl Stearate,Glyceryl Stearate,PEG-100 Stearate,Glycerin,Glyceryl Acrylate/​Acrylic Acid Copolymer,Propylene Glycol,Dimethiconol,Benzyl Alcohol,Benzyl Alcohol,Purified Water,Propylene Glycol,Light Liquid Paraffin,Benzyl Alcohol,PEG-100 Stearate,Glyceryl Acrylate/​Acrylic Acid Copolymer,Cetyl Alcohol,Benzyl Alcohol,Acrylates/​C10-30 Alkyl Acrylate"
INCIDecoder,https://incidecoder.com/products/sei-bella-moisturizer,Sei Bella Moisturizer,,,,moisturizer,moisturizer,,hydrating,"Aqua (Water/​Eau), Glycerin, Pyrus Malus (Apple) Fruit Extract, Calcium Sodium Borosilicate, Butylene Glycol, Ammonium Acryloyldimethyltaurate/​VP Copolymer, Methyl Methacrylate Crosspolymer, Panthenol, Squalane, Cetearyl Olivate, Xylitylglucoside, Dimethicone, Phenoxyethanol, Sorbitan Olivate, Anhydroxylitol, Triethyl Citrate, Methyldihydrojasmonate, Lavandula Hybrida Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Zingiber Officinale (Ginger) Root Oil, Bisabolol, Sodium Citrate, Xylitol, Potassium Sorbate, Alteromonas Ferment Extract, Trisodium Ethylenediamine Disuccinate, Tremella Fuciformis Sporocarp Extract, Polyglutamic Acid, Citric Acid, Sodium Hydroxide, Limonene, Linalool, Tremella Fuciformis Sporocarp Extract, Glycerin, Squalane, Panthenol, Bisabolol, Alteromonas Ferment Extract, Sodium Citrate, Citric Acid, Sodium Hydroxide, Sodium Citrate, Trisodium Ethylenediamine Disuccinate, Squalane, Dimethicone, Lavandula Hybrida Oil, Cetearyl Olivate, Sorbitan Olivate, Glycerin, Pyrus Malus (Apple) Fruit Extract, Butylene Glycol, Panthenol, Xylitylglucoside, Anhydroxylitol, Xylitol, Tremella Fuciformis Sporocarp Extract, Polyglutamic Acid, Triethyl Citrate, Citrus Aurantium Dulcis (Orange) Peel Oil, Zingiber Officinale (Ginger) Root Oil, Limonene, Linalool, Phenoxyethanol, Potassium Sorbate, Aqua (Water/​Eau), Butylene Glycol, Limonene, Ammonium Acryloyldimethyltaurate/​VP Copolymer","Aqua (Water/​Eau),Glycerin,Pyrus Malus (Apple) Fruit Extract,Calcium Sodium Borosilicate,Butylene Glycol,Ammonium Acryloyldimethyltaurate/​VP Copolymer,Methyl Methacrylate Crosspolymer,Panthenol,Squalane,Cetearyl Olivate,Xylitylglucoside,Dimethicone,Phenoxyethanol,Sorbitan Olivate,Anhydroxylitol,Triethyl Citrate,Methyldihydrojasmonate,Lavandula Hybrida Oil,Citrus Aurantium Dulcis (Orange) Peel Oil,Zingiber Officinale (Ginger) Root Oil,Bisabolol,Sodium Citrate,Xylitol,Potassium Sorbate,Alteromonas Ferment Extract,Trisodium Ethylenediamine Disuccinate,Tremella Fuciformis Sporocarp Extract,Polyglutamic Acid,Citric Acid,Sodium Hydroxide,Limonene,Linalool,Tremella Fuciformis Sporocarp Extract,Glycerin,Squalane,Panthenol,Bisabolol,Alteromonas Ferment Extract,Sodium Citrate,Citric Acid,Sodium Hydroxide,Sodium Citrate,Trisodium Ethylenediamine Disuccinate,Squalane,Dimethicone,Lavandula Hybrida Oil,Cetearyl Olivate,Sorbitan Olivate,Glycerin,Pyrus Malus (Apple) Fruit Extract,Butylene Glycol,Panthenol,Xylitylglucoside,Anhydroxylitol,Xylitol,Tremella Fuciformis Sporocarp Extract,Polyglutamic Acid,Triethyl Citrate,Citrus Aurantium Dulcis (Orange) Peel Oil,Zingiber Officinale (Ginger) Root Oil,Limonene,Linalool,Phenoxyethanol,Potassium Sorbate,Aqua (Water/​Eau),Butylene Glycol,Limonene,Ammonium Acryloyldimethyltaurate/​VP Copolymer"
INCIDecoder,https://incidecoder.com/products/aloe-and-me-moisturizer,Aloe and me Moisturizer,,,,moisturizer,moisturizer,,hydrating,"Aqua, Disodium EDTA, Glycerin, Sodium Acrylates Copolymer, Lecithin, Caprylic/​Capric Triglyceride, Aloe Vera Extract, Jojoba Oil, Goat Milk Extract, Vitamin E, Calendula Extract, Shea Butter, Kokum Butter, Perfume, Preservative, Vitamin E, Calendula Extract, Glycerin, Aloe Vera Extract, Calendula Extract, Disodium EDTA, Lecithin, Caprylic/​Capric Triglyceride, Aloe Vera Extract, Jojoba Oil, Shea Butter, Lecithin, Glycerin, Aloe Vera Extract, Perfume, Aqua, Sodium Acrylates Copolymer","Aqua,Disodium EDTA,Glycerin,Sodium Acrylates Copolymer,Lecithin,Caprylic/​Capric Triglyceride,Aloe Vera Extract,Jojoba Oil,Goat Milk Extract,Vitamin E,Calendula Extract,Shea Butter,Kokum Butter,Perfume,Preservative,Vitamin E,Calendula Extract,Glycerin,Aloe Vera Extract,Calendula Extract,Disodium EDTA,Lecithin,Caprylic/​Capric Triglyceride,Aloe Vera Extract,Jojoba Oil,Shea Butter,Lecithin,Glycerin,Aloe Vera Extract,Perfume,Aqua,Sodium Acrylates Copolymer"
INCIDecoder,https://incidecoder.com/products/physiology-moisturizer,Physiology Moisturizer,,,,moisturizer,moisturizer,ceramide,"barrier_repair,hydrating","Water, Caprylic/​Capric Triglyceride, Glycerin, Pentylene Glycol, Cocos Nucifera (Coconut) Oil, Hydrogenated Lecithin, Butyrospermum Parkii (Shea) Butter, Hydroxyethylcellulose, Squalane, Carbomer, Xanthan Gum, Sodium Carbomer, Ceramide NP, Disodium Phosphate, Sodium Phosphate, Glycerin, Squalane, Ceramide NP, Disodium Phosphate, Sodium Phosphate, Caprylic/​Capric Triglyceride, Cocos Nucifera (Coconut) Oil, Hydrogenated Lecithin, Butyrospermum Parkii (Shea) Butter, Squalane, Hydrogenated Lecithin, Glycerin, Pentylene Glycol, Cocos Nucifera (Coconut) Oil, Water, Pentylene Glycol, Hydroxyethylcellulose, Carbomer, Xanthan Gum, Sodium Carbomer","Water,Caprylic/​Capric Triglyceride,Glycerin,Pentylene Glycol,Cocos Nucifera (Coconut) Oil,Hydrogenated Lecithin,Butyrospermum Parkii (Shea) Butter,Hydroxyethylcellulose,Squalane,Carbomer,Xanthan Gum,Sodium Carbomer,Ceramide NP,Disodium Phosphate,Sodium Phosphate,Glycerin,Squalane,Ceramide NP,Disodium Phosphate,Sodium Phosphate,Caprylic/​Capric Triglyceride,Cocos Nucifera (Coconut) Oil,Hydrogenated Lecithin,Butyrospermum Parkii (Shea) Butter,Squalane,Hydrogenated Lecithin,Glycerin,Pentylene Glycol,Cocos Nucifera (Coconut) Oil,Water,Pentylene Glycol,Hydroxyethylcellulose,Carbomer,Xanthan Gum,Sodium Carbomer"
INCIDecoder,https://incidecoder.com/products/urban-essence-moisturizer,Urban Essence Moisturizer,,,,moisturizer,moisturizer,niacinamide,"brightening,hydrating","Hyaluronic Acid, Vitamin E, Glycerin, Niacinamide, Glyceryl Stearate, Cetyl Alcohol, Xanthan Gum, DL-Panthenol, PEG-100 Stearate, Aqua, Niacinamide, Vitamin E, Niacinamide, Niacinamide, Hyaluronic Acid, Glycerin, DL-Panthenol, Glyceryl Stearate, Cetyl Alcohol, Glyceryl Stearate, PEG-100 Stearate, Hyaluronic Acid, Glycerin, Niacinamide, DL-Panthenol, Aqua, PEG-100 Stearate, Cetyl Alcohol, Xanthan Gum","Hyaluronic Acid,Vitamin E,Glycerin,Niacinamide,Glyceryl Stearate,Cetyl Alcohol,Xanthan Gum,DL-Panthenol,PEG-100 Stearate,Aqua,Niacinamide,Vitamin E,Niacinamide,Niacinamide,Hyaluronic Acid,Glycerin,DL-Panthenol,Glyceryl Stearate,Cetyl Alcohol,Glyceryl Stearate,PEG-100 Stearate,Hyaluronic Acid,Glycerin,Niacinamide,DL-Panthenol,Aqua,PEG-100 Stearate,Cetyl Alcohol,Xanthan Gum"
INCIDecoder,https://incidecoder.com/products/novology-moisturizer,Novology Moisturizer,,,,moisturizer,moisturizer,niacinamide,"brightening,hydrating","Sodium Hyaluronic Acid, Complex, Niacinamide, Pro-Vitamin B5, Glycerin, Niacinamide, Niacinamide, Niacinamide, Sodium Hyaluronic Acid, Glycerin, Pro-Vitamin B5, Sodium Hyaluronic Acid, Niacinamide, Pro-Vitamin B5, Glycerin","Sodium Hyaluronic Acid,Complex,Niacinamide,Pro-Vitamin B5,Glycerin,Niacinamide,Niacinamide,Niacinamide,Sodium Hyaluronic Acid,Glycerin,Pro-Vitamin B5,Sodium Hyaluronic Acid,Niacinamide,Pro-Vitamin B5,Glycerin"
