product_url,name,brand,ingredients_raw
https://incidecoder.com/products/sisley-black-rose-cream-mask-discontinued,"Sisley
Black Rose Cream Mask (Discontinued)",,"Water/Eau (Aqua), Butyrospermum Parkii (Shea Butter), Glycerin, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Squalane, Butylene Glycol, Tocopheryl Acetate, Simmondsia Chinensis (Jojoba) Seed Oil, Panthenol, Tocopheryl Acetate, Rosa Damascena Flower Oil, Glycerin, Squalane, Arginine, Panthenol"
https://incidecoder.com/products/niod-flavanone-mud,"NIOD
Flavanone Mud",,"Aqua (Water), Montmorillonite, Kaolin, Bisabolol, Silica Cetyl Silylate, Isodecyl Neopentanoate, Panthenyl Triacetate, Glucosyl Hesperidin, Potassium Azeloyl Diglycinate, Potassium Azeloyl Diglycinate, Resveratrol, Potassium Azeloyl Diglycinate, Glycerin, Arginine, Bisabolol, Potassium Azeloyl Diglycinate, Alteromonas Ferment Extract"
https://incidecoder.com/products/hylamide-ha-blur,"Hylamide
Ha Blur",,"Caprylyl Methicone, Aqua (Water), PEG-12 Dimethicone/PPG-20 Crosspolymer, Hexamethyldisiloxane, Polysilicone-11, Cyclopentasiloxane, Isodecyl Neopentanoate, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Cyclomethicone, Tocopherol, Sodium Hyaluronate"
https://incidecoder.com/products/biologique-recherche-serum-placenta,"Biologique Recherche
Serum Placenta",,"Water (Aqua), Hydrolyzed Placental Protein, Phenoxyethanol, Ethylhexylglycerin, Hydrolyzed Placental Protein, Phenoxyethanol, Ethylhexylglycerin, Water (Aqua)"
https://incidecoder.com/products/kate-somerville-goat-milk-moisturizing-cream-discontinued,"Kate Somerville
Goat Milk Moisturizing Cream (Discontinued)",,"Water, Ethylhexyl Palmitate, Myristyl Myristate, Glyceryl Stearate, Peg-100 Stearate, Cetearyl Ethylhexanoate, Decyl Oleate, Glycerin, Propanediol, Persea Gratissima Oil, Vitis Vinifera Seed Oil, Rosmarinus Officinalis Leaf Extract, Tocopheryl Acetate, Tocopherol, Lactic Acid, Glycerin, Hamamelis Virginiana Flower Water, Aloe Barbadensis Leaf Juice Powder, Rosmarinus Officinalis Leaf Extract"
https://incidecoder.com/products/the-ordinary-marine-hyaluronics-discontinued,"The Ordinary
Marine Hyaluronics (Discontinued)",,"Aqua (Water), Glycerin, Algae Extract, Pseudoalteromonas Exopolysaccharides, Pseudoalteromonas Ferment Extract, Ahnfeltia Concinna Extract, Arginine, Glycine, Alanine, Salicylic Acid, Salicylic Acid, Glycerin, Arginine, Glycine, Alanine, Serine, Valine, Isoleucine, Proline, Threonine, Histidine, Phenylalanine, Aspartic Acid, Pca, Sodium Pca, Pseudoalteromonas Ferment Extract, Salicylic Acid"
https://incidecoder.com/products/thank-you-farmer-sun-project-water-sun-cream-spf50-discontinued,"Thank You Farmer
Sun Project Water Sun Cream Spf 50 (Discontinued)",,"Water, Ethylhexyl Methoxycinnamate, Homosalate, Ethylhexyl Salicylate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Octocrylene, C12-15 Alkyl Benzoate, Butylene Glycol, Cyclomethicone, Centella Asiatica Extract, Portulaca Oleracea Extract, Plukenetia Volubilis Seed Oil, Sodium Hyaluronate, Helianthus Annuus (Sunflower) Seed Oil Unsaponifiables, Viscum Album (Mistletoe) Leaf Extract, Centella Asiatica Extract, Portulaca Oleracea Extract, Aloe Barbadensis Leaf Extract, Helianthus Annuus (Sunflower) Seed Oil Unsaponifiables, Ethylhexyl Methoxycinnamate, Homosalate, Ethylhexyl Salicylate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Octocrylene, Titanium Dioxide"
https://incidecoder.com/products/glossier-super-glow-discontinued,"Glossier
Super Glow (Discontinued)",,"Water/Aqua/Eau, Glycereth-26, Propanediol, Aminopropyl Ascorbyl Phosphate, Magnesium Pca, Ethylhexylglycerin, Phenoxyethanol, Aminopropyl Ascorbyl Phosphate, Aminopropyl Ascorbyl Phosphate"
https://incidecoder.com/products/osea-advanced-protection-cream,"OSEA
Advanced Protection Cream",,"Aqua, *Algae Extract, Dipalmitoyl Hydroxyproline, Coco Caprylate/Caprate, Cetearyl Glucoside, Squalane (Olive), Glycerin, *Aloe Barbadensis (Aloe Vera) Leaf Juice, *Macadamia Ternifolia (Macadamia) Seed Oil, *Vitis Vinifera Seed (Grapeseed) Oil, Tocopherol (Vitamin E), *Persea Gratissima (Avocado) Oil, *Calendula Officinalis Flower Extract, Potassium Ascorbyl Tocopheryl Phosphate (Natural Vitamin C), Squalane (Olive), Glycerin, Glycine, *Aloe Barbadensis (Aloe Vera) Leaf Juice, *Calendula Officinalis Flower Extract, *Anthemis Nobilis Flower (Chamomile) Extract"
https://incidecoder.com/products/la-roche-posay-anthelios-xl-spf-50-dry-touch-gel-cream-anti-shine,"La Roche-Posay
Anthelios Xl Spf 50+ Dry Touch Gel-Cream Anti-Shine",,"Aqua / Water, Homosalate, Silica, Octocrylene, Ethylhexyl Salicylate, Butyl Methoxydibenzoylmethane, Ethylhexyl Triazone, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Drometrizole Trisiloxane, Zinc Gluconate, Scutellaria Baicalensis Extract / Scutellaria Baicalensis Root Extract, Tocopherol, Glycerin, Scutellaria Baicalensis Extract / Scutellaria Baicalensis Root Extract, Zinc Gluconate, Homosalate, Octocrylene, Ethylhexyl Salicylate, Butyl Methoxydibenzoylmethane, Ethylhexyl Triazone, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Drometrizole Trisiloxane, Terephthalylidene Dicamphor Sulfonic Acid, Titanium Dioxide"
https://incidecoder.com/products/paulas-choice-resist-super-light-wrinkle-defense-spf-30,"Paula's Choice
Resist Super-Light Wrinkle Defense Spf 30",,"Zinc Oxide (13%), Water, Cyclopentasiloxane, Peg-12 Dimethicone, Peg/Ppg-18/18 Dimethicone, Lauroyl Lysine, Sodium Chloride, Trihydroxystearin, Dimethicone Crosspolymer, Resveratrol, Quercetin, Epigallocatechin Gallate, Tocopheryl Acetate, Tetrahexyldecyl Ascorbate, Haematococcus Pluvialis Extract, Adenosine, Tetrahexyldecyl Ascorbate, Quercetin, Epigallocatechin Gallate, Bisabolol, Salix Alba (Willow) Bark Extract, Zinc Oxide (13%)"
https://incidecoder.com/products/etude-house-soonjung-hydro-barrier-cream-discontinued,"Etude House
Soon Jung Hydro Barrier Cream (Discontinued)",,"Water (67.3%), Glycerin 10.0%, Propanediol (10%), Phenyl Trimethicone, Panthenol, Methyl Trimethicone, Hydrogenated Poly(C6-14 Olefin), 1,2-Hexanediol, Polymethylsilsesquioxane, Lauric Acid, Madecassoside, Scutellaria Baicalensis Root Extract, Tocopherol, Glycerin 10.0%, Panthenol, Madecassoside, Scutellaria Baicalensis Root Extract"
